sample,total_count,population,count,percentage
sample00000,93214.0,b_cell,10908.0,11.7021
sample00000,93214.0,cd4_t_cell,20491.0,21.9827
sample00000,93214.0,cd8_t_cell,24440.0,26.2192
sample00000,93214.0,monocyte,23511.0,25.2226
sample00000,93214.0,nk_cell,13864.0,14.8733
sample00001,100824.0,b_cell,6777.0,6.7216
sample00001,100824.0,cd4_t_cell,33459.0,33.1856
sample00001,100824.0,cd8_t_cell,19407.0,19.2484
sample00001,100824.0,monocyte,23011.0,22.8229
sample00001,100824.0,nk_cell,18170.0,18.0215
sample00002,92822.0,b_cell,9794.0,10.5514
sample00002,92822.0,cd4_t_cell,24274.0,26.1511
sample00002,92822.0,cd8_t_cell,22940.0,24.714
sample00002,92822.0,monocyte,18332.0,19.7496
sample00002,92822.0,nk_cell,17482.0,18.8339
sample00003,93160.0,b_cell,10081.0,10.8212
sample00003,93160.0,cd4_t_cell,36157.0,38.8117
sample00003,93160.0,cd8_t_cell,20271.0,21.7593
sample00003,93160.0,monocyte,12610.0,13.5359
sample00003,93160.0,nk_cell,14041.0,15.0719
sample00004,107903.0,b_cell,4372.0,4.0518
sample00004,107903.0,cd4_t_cell,38293.0,35.4884
sample00004,107903.0,cd8_t_cell,33778.0,31.304
sample00004,107903.0,monocyte,14933.0,13.8393
sample00004,107903.0,nk_cell,16527.0,15.3165
sample00005,105359.0,b_cell,15431.0,14.6461
sample00005,105359.0,cd4_t_cell,30805.0,29.2381
sample00005,105359.0,cd8_t_cell,31940.0,30.3154
sample00005,105359.0,monocyte,15779.0,14.9764
sample00005,105359.0,nk_cell,11404.0,10.8239
sample00006,99774.0,b_cell,5897.0,5.9104
sample00006,99774.0,cd4_t_cell,28319.0,28.3831
sample00006,99774.0,cd8_t_cell,31296.0,31.3669
sample00006,99774.0,monocyte,21606.0,21.6549
sample00006,99774.0,nk_cell,12656.0,12.6847
sample00007,98424.0,b_cell,10403.0,10.5696
sample00007,98424.0,cd4_t_cell,33870.0,34.4123
sample00007,98424.0,cd8_t_cell,13504.0,13.7202
sample00007,98424.0,monocyte,18031.0,18.3197
sample00007,98424.0,nk_cell,22616.0,22.9781
sample00008,90353.0,b_cell,8829.0,9.7717
sample00008,90353.0,cd4_t_cell,21307.0,23.582
sample00008,90353.0,cd8_t_cell,26215.0,29.014
sample00008,90353.0,monocyte,16378.0,18.1267
sample00008,90353.0,nk_cell,17624.0,19.5057
sample00009,95821.0,b_cell,7650.0,7.9836
sample00009,95821.0,cd4_t_cell,21097.0,22.0171
sample00009,95821.0,cd8_t_cell,33334.0,34.7878
sample00009,95821.0,monocyte,15676.0,16.3597
sample00009,95821.0,nk_cell,18064.0,18.8518
sample00010,107537.0,b_cell,13203.0,12.2776
sample00010,107537.0,cd4_t_cell,27873.0,25.9195
sample00010,107537.0,cd8_t_cell,21339.0,19.8434
sample00010,107537.0,monocyte,31913.0,29.6763
sample00010,107537.0,nk_cell,13209.0,12.2832
sample00011,89815.0,b_cell,10621.0,11.8254
sample00011,89815.0,cd4_t_cell,29391.0,32.7239
sample00011,89815.0,cd8_t_cell,19786.0,22.0297
sample00011,89815.0,monocyte,16497.0,18.3678
sample00011,89815.0,nk_cell,13520.0,15.0532
sample00012,109579.0,b_cell,14128.0,12.893
sample00012,109579.0,cd4_t_cell,40320.0,36.7954
sample00012,109579.0,cd8_t_cell,21720.0,19.8213
sample00012,109579.0,monocyte,18802.0,17.1584
sample00012,109579.0,nk_cell,14609.0,13.3319
sample00013,109488.0,b_cell,10681.0,9.7554
sample00013,109488.0,cd4_t_cell,31697.0,28.9502
sample00013,109488.0,cd8_t_cell,19994.0,18.2614
sample00013,109488.0,monocyte,22073.0,20.1602
sample00013,109488.0,nk_cell,25043.0,22.8728
sample00014,92904.0,b_cell,6113.0,6.5799
sample00014,92904.0,cd4_t_cell,27223.0,29.3023
